vital,anomaly,index,value
SysBP,hypertensive_spike,195,256
SysBP,hypertensive_spike,197,162
SysBP,hypotension,0,80
SysBP,hypotension,21,48
SysBP,hypotension,33,62
SysBP,hypotension,47,64
SysBP,hypotension,67,86
SysBP,hypotension,68,86
SysBP,hypotension,69,68
SysBP,hypotension,78,36
SysBP,hypotension,102,66
SysBP,hypotension,118,70
SysBP,hypotension,154,78
SysBP,hypotension,162,80
SysBP,hypotension,163,80
SysBP,hypotension,173,56
Pulse,tachycardia,5,103
Pulse,tachycardia,6,154
Pulse,tachycardia,7,132
Pulse,tachycardia,9,110
Pulse,tachycardia,11,132
Pulse,tachycardia,12,103
Pulse,tachycardia,14,106
Pulse,tachycardia,20,116
Pulse,tachycardia,22,128
Pulse,tachycardia,24,110
Pulse,tachycardia,26,111
Pulse,tachycardia,27,120
Pulse,tachycardia,28,120
Pulse,tachycardia,33,145
Pulse,tachycardia,35,128
Pulse,tachycardia,45,124
Pulse,tachycardia,46,136
Pulse,tachycardia,47,125
Pulse,tachycardia,49,122
Pulse,tachycardia,52,120
Pulse,tachycardia,53,140
Pulse,tachycardia,54,120
Pulse,tachycardia,55,106
Pulse,tachycardia,58,112
Pulse,tachycardia,60,110
Pulse,tachycardia,61,114
Pulse,tachycardia,62,170
Pulse,tachycardia,64,122
Pulse,tachycardia,67,153
Pulse,tachycardia,69,124
Pulse,tachycardia,74,125
Pulse,tachycardia,76,107
Pulse,tachycardia,79,121
Pulse,tachycardia,81,112
Pulse,tachycardia,84,131
Pulse,tachycardia,85,118
Pulse,tachycardia,87,104
Pulse,tachycardia,90,112
Pulse,tachycardia,93,108
Pulse,tachycardia,105,162
Pulse,tachycardia,112,124
Pulse,tachycardia,114,136
Pulse,tachycardia,118,112
Pulse,tachycardia,120,145
Pulse,tachycardia,121,103
Pulse,tachycardia,124,126
Pulse,tachycardia,125,140
Pulse,tachycardia,129,120
Pulse,tachycardia,130,140
Pulse,tachycardia,131,138
Pulse,tachycardia,134,106
Pulse,tachycardia,137,119
Pulse,tachycardia,138,115
Pulse,tachycardia,139,135
Pulse,tachycardia,140,128
Pulse,tachycardia,141,105
Pulse,tachycardia,142,125
Pulse,tachycardia,145,112
Pulse,tachycardia,146,150
Pulse,tachycardia,147,144
Pulse,tachycardia,149,108
Pulse,tachycardia,150,125
Pulse,tachycardia,152,135
Pulse,tachycardia,154,143
Pulse,tachycardia,155,112
Pulse,tachycardia,156,120
Pulse,tachycardia,157,150
Pulse,tachycardia,158,192
Pulse,tachycardia,159,160
Pulse,tachycardia,160,140
Pulse,tachycardia,163,118
Pulse,tachycardia,166,140
Pulse,tachycardia,168,115
Pulse,tachycardia,173,114
Pulse,tachycardia,175,109
Pulse,tachycardia,180,140
Pulse,tachycardia,184,120
Pulse,tachycardia,189,114
Pulse,tachycardia,192,137
Pulse,tachycardia,193,124
Pulse,bradycardia,21,39
Pulse,bradycardia,56,58
Pulse,bradycardia,94,48
Pulse,bradycardia,103,44
Pulse,bradycardia,122,46
Pulse,bradycardia,128,52
Pulse,bradycardia,165,59
Pulse,bradycardia,170,52
Pulse,bradycardia,185,55
